State,District,Year,Living_Quarters_Count,Living_Quarters_Loss,Vehicles,Business_Premises,Manufacturing,Total_Loss,Loss_per_1000_Living_Quarters
Kedah,Baling,2025,37438.0,573.425,67.77,25.45,0.0,666.645,17.806640311982477
Kedah,Bandar Baharu,2024,11112.0,494.98,4.01,0.0,0.0,498.99,44.90550755939525
Kedah,Bandar Baharu,2025,11112.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Kota Setar,2024,95942.0,22022.363,922.596,2821.142,0.0,25766.101000000002,268.5591398970211
Kedah,Kota Setar,2025,95942.0,3065.165,101.325,285.315,0.0,3451.805,35.978038815117465
Kedah,Kuala Muda,2024,131802.0,439.69,8.25,0.0,0.0,447.94,3.398582722568701
Kedah,Kuala Muda,2025,131802.0,133.56,21.6,141.3,0.0,296.46000000000004,2.2492830154322396
Kedah,Kubang Pasu,2024,58695.0,9432.046,240.529,164.895,0.0,9837.470000000001,167.60320299855186
Kedah,Kubang Pasu,2025,58695.0,2855.351,101.05,262.24,0.0,3218.6410000000005,54.83671522276174
Kedah,Kulim,2024,80772.0,408.6,10.37,0.0,0.0,418.97,5.187069776655277
Kedah,Kulim,2025,80772.0,1834.95,70.0,185.35,0.0,2090.3,25.879017481305407
Kedah,Langkawi,2024,25983.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Langkawi,2025,25983.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Padang Terap,2024,15968.0,1071.47,5.67,0.0,0.0,1077.14,67.45616232464931
Kedah,Padang Terap,2025,15968.0,18.592,0.0,0.0,0.0,18.592,1.1643286573146292
Kedah,Sik,2024,17421.0,1862.72,46.685,83.525,0.0,1992.93,114.39814017565008
Kedah,Sik,2025,17421.0,132.5,3.2,17.1,0.0,152.79999999999998,8.771023477412317
Kedah,Yan,2024,16927.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Yan,2025,16927.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Pendang,2024,24077.0,4651.69,59.852,66.28,0.0,4777.821999999999,198.43925738256425
Kedah,Pendang,2025,24077.0,477.24,22.8,293.0,0.0,793.04,32.937658346139465
Kedah,Pokok Sena,2024,12091.0,6771.05,530.01,373.556,0.0,7674.616,634.7379042262841
Kedah,Pokok Sena,2025,12091.0,683.155,28.96,111.77,0.0,823.885,68.14035232817798
Kelantan,Bachok,2024,31355.0,5178.762534006532,67.56212121212121,124.95,13.0,5384.274655218654,171.71981040403932
Kelantan,Bachok,2025,31355.0,2207.60041362821,31.326,38.25,0.0,2277.17641362821,72.62562314234444
Kelantan,Gua Musang,2024,20324.0,209.184,14.934,20.2,0.0,244.31799999999998,12.021157252509347
Kelantan,Gua Musang,2025,20324.0,251.259,11.092,7.5,0.0,269.851,13.27745522534934
Kelantan,Jeli,2024,11620.0,1214.012,9.5,112.2,0.0,1335.712,114.94939759036144
